uid,number,squadron,highScore,rank,width,height
AgQi0E,#0001,Squadron Gaphus,175500,5,1024,1024
VxTCsa,#0001,Squadron Gaphus,593200,18,1024,1024
AXcbYR,#0001,Squadron Gaphus,317700,10,1024,1024
hm3pvz,#0002,Squadron Nonia,295600,9,1024,1024
JebqCN,#0002,Squadron Nonia,233400,7,1024,1024
7VhZfO,#0002,Squadron Nonia,349500,11,1024,1024
BLRSbk,#0003,Squadron Tubos,69100,2,1024,1024
iVNLe6,#0003,Squadron Tubos,292000,9,1024,1024
dMs94x,#0003,Squadron Tubos,480200,15,1024,1024
sOf5Gg,#0004,Squadron Pecury,15300,0,1024,1024
7AiHKG,#0004,Squadron Pecury,4800,0,1024,1024
KhIzvr,#0004,Squadron Pecury,25000,0,1024,1024
yFij96,#0005,Squadron Cotania,8700,0,1024,1024
ZMSZof,#0005,Squadron Cotania,4300,0,1024,1024
cqtEPz,#0005,Squadron Cotania,9000,0,1024,1024
RxrFxV,#0006,Squadron Sophus,198200,6,1024,1024
9k1p6v,#0006,Squadron Sophus,19600,0,1024,1024
CbdRYA,#0006,Squadron Sophus,233900,7,1024,1024
Dqv0rJ,#0007,Squadron Nostea,109500,3,1024,1024
pxh31L,#0007,Squadron Nostea,134800,4,1024,1024
O5Dmxy,#0007,Squadron Nostea,112900,3,1024,1024
YOdUGg,#0008,Squadron Tepra,113600,3,1024,1024
WeNBZF,#0008,Squadron Tepra,79100,2,1024,1024
yBdqT9,#0008,Squadron Tepra,20800,0,1024,1024
lDDJPa,#0009,Squadron Relia v12.42,9000,0,1024,1024
pfKLuw,#0009,Squadron Relia v12.42,24800,0,1024,1024
o5lQ4F,#0009,Squadron Relia v12.42,13300,0,1024,1024
xtJwnb,#0010,Squadron Xocury,13500,0,1024,1024
WgyKdK,#0010,Squadron Xocury,19500,0,1024,1024
zL6ofa,#0010,Squadron Xocury,4500,0,1024,1024
OQhs1D,#0011,Squadron Wuwei v12.30,24800,0,1024,1024
8WN3a6,#0011,Squadron Wuwei v12.30,63400,2,1024,1024
bcwDmy,#0011,Squadron Wuwei v12.30,9300,0,1024,1024
kLVnEw,#0012,Squadron Yutera Mk LXXXIV,24800,0,1024,1024
ms9lhT,#0012,Squadron Yutera Mk LXXXIV,4300,0,1024,1024
6lVBp6,#0012,Squadron Yutera Mk LXXXIV,0,0,1024,1024
X0eOhS,#0013,Squadron Tewei v11.69,637000,20,1024,1024
W8vgmf,#0013,Squadron Tewei v11.69,1234900,38,1024,1024
1EHQgn,#0013,Squadron Tewei v11.69,653400,20,1024,1024
Gjx1E0,#0014,Squadron Qewei Mk XCV,4300,0,1024,1024
3Ib3Zi,#0014,Squadron Qewei Mk XCV,19100,0,1024,1024
mmDkxS,#0014,Squadron Qewei Mk XCV,44800,1,1024,1024
JKr9jk,#0015,Squadron Honov,286800,9,1024,1024
zRBzhL,#0015,Squadron Honov,84800,2,1024,1024
O86EIE,#0015,Squadron Honov,81700,2,1024,1024
aPruAa,#0016,Squadron Purilia Mk XXXV,4300,0,1024,1024
CieHjC,#0016,Squadron Purilia Mk XXXV,24800,0,1024,1024
ABCBZ7,#0016,Squadron Purilia Mk XXXV,18800,0,1024,1024
YqpNWS,#0017,Squadron Wonus,295800,9,1024,1024
7UpkFL,#0017,Squadron Wonus,608500,19,1024,1024
rXnlLp,#0017,Squadron Wonus,109000,3,1024,1024
f2EA4e,#0018,Squadron Buwei,81700,2,1024,1024
w3SuQF,#0018,Squadron Buwei,102600,3,1024,1024
BZW5tb,#0018,Squadron Buwei,71300,2,1024,1024
uEacZJ,#0019,Squadron Iavis v40.72,445800,14,1024,1024
FnEuMZ,#0019,Squadron Iavis v40.72,616000,19,1024,1024
ePTal5,#0019,Squadron Iavis v40.72,384200,12,1024,1024
o7vLbs,#0020,Squadron Humia,4300,0,1024,1024
SUUxxl,#0020,Squadron Humia,14500,0,1024,1024
UJk5z9,#0020,Squadron Humia,322800,10,1024,1024
TtbY7E,#0021,Squadron Selea,317800,10,1024,1024
vF2rjY,#0021,Squadron Selea,71300,2,1024,1024
Hs0jEY,#0021,Squadron Selea,323400,10,1024,1024
GwlWlK,#0022,Squadron Yocarro Mk XLVII,292000,9,1024,1024
bdUw9O,#0022,Squadron Yocarro Mk XLVII,71900,2,1024,1024
6lLvdp,#0022,Squadron Yocarro Mk XLVII,9000,0,1024,1024
4M4Bgp,#0023,Squadron Manope Mk XXXVII,13300,0,1024,1024
afsCQ0,#0023,Squadron Manope Mk XXXVII,108300,3,1024,1024
ozCLRq,#0023,Squadron Manope Mk XXXVII,9300,0,1024,1024
QpjOCZ,#0024,Squadron Wehines Mk L,94100,3,1024,1024
eyrlCH,#0024,Squadron Wehines Mk L,6000,0,1024,1024
BOQkA4,#0024,Squadron Wehines Mk L,77500,2,1024,1024
42NqYI,#0025,Squadron Iapra,62200,2,1024,1024
Exmb4e,#0025,Squadron Iapra,13500,0,1024,1024
XgECBY,#0025,Squadron Iapra,14600,0,1024,1024
aCQSch,#0026,Squadron Jolea,66200,2,1024,1024
ty9xyz,#0026,Squadron Jolea,43100,1,1024,1024
NUzWwL,#0026,Squadron Jolea,14600,0,1024,1024
Xhpmc3,#0027,Squadron Yutania,8500,0,1024,1024
sLAO3m,#0027,Squadron Yutania,196100,6,1024,1024
v7Szin,#0027,Squadron Yutania,323400,10,1024,1024
HN5ltd,#0028,Squadron Senus Mk XLIX,658500,20,1024,1024
VoXDhW,#0028,Squadron Senus Mk XLIX,459100,14,1024,1024
iLeGUb,#0028,Squadron Senus Mk XLIX,5500,0,1024,1024
